The skeleton graph has: Nodes 1045 and 1044 Edges. 
N 296 (101.0,304.125) 15.383127932901033
N 297 (103.0,300.5) 19.00657780874821
N 298 (102.0,302.375) 17.132297715134417
N 299 (111.0,320.0) 7.516648189186454
N 300 (110.0,321.0) 6.519202405202649
N 301 (104.0,327.0) 0.7071067811865476
N 302 (105.0,326.0) 1.5811388300841898
N 303 (107.0,324.0) 3.5355339059327378
N 304 (106.0,325.0) 2.5495097567963922
N 305 (99.0,307.25) 12.260199835239229
N 306 (98.0,308.625) 10.886488184901502
N 307 (115.0,364.0) 3.5355339059327378
N 308 (245.0,357.0) 2.5495097567963922
N 309 (244.0,356.0) 3.5355339059327378
N 310 (210.0,362.0) 29.50423698386386
N 311 (202.0,353.53125) 37.97204203835369
N 312 (203.0,354.6875) 36.81589542914853
N 313 (207.0,359.0) 32.50384592629001
N 314 (206.0,357.96875) 33.53497765859551
N 315 (201.0,352.34375) 39.15944220826569
N 316 (200.0,351.125) 40.37809585654083
N 317 (198.0,348.59375) 42.9091632295772
N 318 (197.0,347.28125) 44.22157676477061
N 319 (190.0,340.359375) 51.14306918234987
N 320 (191.0,341.125) 50.377481328466594
N 321 (194.24444444444444,343.5) 48.00068029353308
N 322 (194.0,343.328125) 48.17446980523631
N 323 (195.0,344.5625) 46.940163040300575
N 324 (242.0,354.0) 5.522680508593631
N 325 (241.0,353.0) 6.519202405202649
N 326 (213.0,365.0) 26.504716561397142
N 327 (287.0,231.0625) 32.441353335673284
N 328 (288.0,230.9375) 32.56633854534464
N 329 (127.0,384.0) 7.516648189186454
N 330 (124.0,387.0) 4.527692569068709
N 331 (122.0,389.0) 2.5495097567963922
N 332 (123.0,388.0) 3.5355339059327378
N 333 (130.0,381.0) 10.51189802081432
N 334 (128.0,383.0) 8.514693182963201
N 335 (129.0,382.0) 9.513148795220223
N 336 (144.0,367.0) 24.50510150968569
N 337 (152.0,357.5) 34.00367627183861
N 338 (147.0,363.75) 27.754504138968148
N 339 (161.0,343.625) 47.877610894864
N 340 (158.0,348.625) 42.877915352778054
N 341 (153.0,356.125) 35.37853339244011
N 342 (157.0,350.2083333333333) 41.294693800912384
N 343 (156.0,351.75) 39.75314452970985
N 344 (138.0,373.0) 18.506755523321747
N 345 (137.0,374.0) 17.507141400011598
N 346 (136.0,375.0) 16.507574019219177
N 347 (175.421875,323.0) 64.0800757140285
N 348 (175.3828125,322.0) 64.1191370256194
N 349 (175.28125,320.0) 64.22069644252154
N 350 (175.3359375,321.0) 64.16601060143842
N 351 (175.5,327.0) 64.00195309519859
N 352 (175.4921875,326.0) 64.00976535682003
N 353 (175.453125,324.0) 64.04882666579947
N 354 (175.4765625,325.0) 64.0253898802374
N 355 (174.984375,316.0) 64.51756248604426
N 356 (175.0703125,317.0) 64.43162757022095
N 357 (175.21875,319.0) 64.28319455007272
N 358 (175.1484375,318.0) 64.35350492546156
N 359 (290.0,230.640625) 32.863178869224214
N 360 (291.0,230.46875) 33.03503407842196
N 361 (90.0,267.53409090909093) 44.03692952727381
N 362 (79.0,144.0) 15.508062419270823
N 363 (75.0,148.0) 11.510864433221338
N 364 (67.0,156.0) 3.5355339059327378
N 365 (220.0,237.40625) 37.90954746580998
N 366 (219.0,237.84375) 38.34700984513004
N 367 (221.0,236.984375) 37.487709574480874
N 368 (222.0,236.578125) 37.081496106759566
N 369 (224.0,235.8125) 36.31594217764424
N 370 (223.0,236.1875) 36.69090699682961
N 371 (203.0,246.96875) 47.47138323835213
N 372 (188.0,147.375) 12.13530489934225
N 373 (197.0,151.3125) 8.20275296775418
N 374 (197.0,251.421875) 51.92428240732485
N 375 (359.0,216.0) 0.7071067811865476
N 376 (357.0,218.0) 2.5495097567963922
N 377 (358.0,217.0) 1.5811388300841898
N 378 (215.0,239.75) 40.253105470261545
N 379 (216.0,239.25) 39.75314452970985
N 380 (214.0,240.265625) 40.76869119361848
N 381 (213.0,240.796875) 41.29990175249361
N 382 (211.0,241.90625) 42.40919757626286
N 383 (212.0,241.34375) 41.846737197331166
N 384 (175.5,135.5) 24.0
N 385 (126.0,97.0) 25.5049014897137
N 386 (127.0,96.0) 24.50510150968569
N 387 (128.0,95.0) 23.50531854708632
N 388 (119.453125,106.0) 32.05077529897873
N 389 (119.484375,105.0) 32.01952910554159
N 390 (119.40625,107.0) 32.097644603031235
N 391 (119.34375,108.0) 32.160137034261844
N 392 (189.125,282.0) 58.37714128835019
N 393 (192.75,283.0) 54.75228305742145
N 394 (199.625,285.0) 47.877610894864
N 395 (196.25,284.0) 51.25243896635554
N 396 (173.375,278.0) 74.12668632145916
N 397 (177.5,279.0) 70.00178569150933
N 398 (211.875,289.0) 35.62850859915413
N 399 (209.0,288.0) 38.50324661635691
N 400 (202.875,286.0) 44.62780103254024
N 401 (206.0,287.0) 41.50301193889427
N 402 (219.75,292.0) 27.754504138968148
N 403 (185.375,281.0) 62.12701203985268
N 404 (181.5,280.0) 66.00189391222042
N 405 (180.0,267.0) 67.50185182644992
N 406 (181.0,266.0) 66.50187967268293
N 407 (182.0,265.0) 65.50190836914601
N 408 (229.0,234.171875) 34.675480040161304
N 409 (230.0,233.890625) 34.394259519440524
N 410 (242.0,231.734375) 32.23825261456683
N 411 (241.0,231.828125) 32.33199137101866
N 412 (247.0,231.5) 32.00390601161052
N 413 (248.0,231.5) 32.00390601161052
N 414 (77.0,261.0) 37.50333318519835
N 415 (38.0,241.0) 6.519202405202649
N 416 (64.0,159.0) 0.7071067811865476
N 417 (72.0,256.0) 32.50384592629001
N 418 (70.0,254.0) 30.504098085339287
N 419 (71.0,255.0) 31.50396800404673
N 420 (65.0,249.0) 25.5049014897137
N 421 (66.0,250.0) 26.504716561397142
N 422 (67.0,251.0) 27.504545078950134
N 423 (69.0,253.0) 29.50423698386386
N 424 (68.0,252.0) 28.50438562747845
N 425 (334.0,153.0) 9.513148795220223
N 426 (349.0,162.0) 2.5495097567963922
N 427 (350.0,161.0) 1.5811388300841898
N 428 (330.0,157.0) 13.509256086106296
N 429 (328.0,159.0) 15.508062419270823
N 430 (329.0,158.0) 14.508618128546908
N 431 (94.0,78.0) 6.519202405202649
N 432 (93.0,77.0) 5.522680508593631
N 433 (82.0,141.0) 18.506755523321747
N 434 (76.0,147.0) 12.509996003196804
N 435 (77.0,146.0) 13.509256086106296
N 436 (131.5,160.0) 36.003472054789384
N 437 (131.5,161.0) 36.003472054789384
N 438 (131.5,164.0) 36.003472054789384
N 439 (305.0,246.375) 17.132297715134417
N 440 (304.0,244.5) 19.00657780874821
N 441 (309.75,188.0) 30.254131949206542
N 442 (315.5,193.0) 36.003472054789384
N 443 (267.0,231.5) 32.00390601161052
N 444 (300.5,184.0) 21.005951537600005
N 445 (334.0,231.675) 23.83024601215857
N 446 (330.0,229.725) 25.7798492043689
N 447 (331.0,230.25) 25.254950009849555
N 448 (335.0,232.1) 23.40534127074416
N 449 (336.0,232.5) 23.005434140654682
N 450 (337.0,233.0) 22.5055548698538
N 451 (310.0,253.875) 9.637978263100617
N 452 (309.0,252.625) 10.886488184901502
N 453 (320.0,223.1) 32.40385779502188
N 454 (321.0,223.875) 31.62895232219999
N 455 (324.0,226.05) 29.454244176349174
N 456 (326.0,227.375) 28.129444093333944
N 457 (327.0,228.0) 27.504545078950134
N 458 (329.0,229.175) 26.329747909921192
N 459 (328.0,228.6) 26.904646438858844
N 460 (345.0,241.0) 14.508618128546908
N 461 (346.0,242.0) 13.509256086106296
N 462 (344.0,240.0) 15.508062419270823
N 463 (343.0,239.0) 16.507574019219177
N 464 (342.0,238.0) 17.507141400011598
N 465 (352.0,248.0) 7.516648189186454
N 466 (347.0,243.0) 12.509996003196804
N 467 (314.0,258.0) 5.522680508593631
N 468 (313.0,257.0) 6.519202405202649
N 469 (247.0,328.0) 0.7071067811865476
N 470 (246.0,329.0) 1.5811388300841898
N 471 (181.0,130.0) 18.506755523321747
N 472 (141.0,82.0) 10.51189802081432
N 473 (136.0,87.0) 15.508062419270823
N 474 (137.0,86.0) 14.508618128546908
N 475 (175.0,135.5) 24.005207768315607
N 476 (67.0,107.0) 3.5355339059327378
N 477 (68.0,108.0) 4.527692569068709
N 478 (75.0,115.0) 11.510864433221338
N 479 (74.0,114.0) 10.51189802081432
N 480 (80.0,120.0) 16.507574019219177
N 481 (79.0,119.0) 15.508062419270823
N 482 (78.0,118.0) 14.508618128546908
N 483 (83.0,123.0) 19.50640920313116
N 484 (84.0,124.0) 20.506096654409877
N 485 (89.0,318.0) 1.5811388300841898
N 486 (90.0,317.0) 2.5495097567963922
N 487 (93.0,314.0) 5.522680508593631
N 488 (75.0,276.0) 35.503520952153465
N 489 (113.0,366.0) 1.5811388300841898
N 490 (114.0,365.0) 2.5495097567963922
N 491 (226.0,378.0) 13.509256086106296
N 492 (216.0,368.0) 23.50531854708632
N 493 (228.5,343.0) 19.00657780874821
N 494 (230.375,342.0) 17.132297715134417
